# code;supercategories;catalogversion
1812;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1812;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1966;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1966;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1968;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1968;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
2316;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2316;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2318;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2318;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2320;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2320;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2328;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2328;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2329;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2329;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2442;PORTATIL_11000_12000:centralArProductCatalog:Staged,PORTATIL_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2442;PORTATIL_11000_12000:centralArProductCatalog:Online,PORTATIL_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
248;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
248;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
1719;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1719;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Online;centralArProductCatalog:Online
1720;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1720;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Online;centralArProductCatalog:Online
1721;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1721;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Online;centralArProductCatalog:Online
1801;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1801;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1802;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1802;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1804;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1804;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1806;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1806;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1807;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1807;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1808;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1808;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1809;SPLIT_27000_32000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1809;SPLIT_27000_32000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1810;SPLIT_27000_32000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1810;SPLIT_27000_32000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1811;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1811;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1813;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1813;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1816;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1816;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1819;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1819;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1820;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1820;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1841;PISO_TETO_17000_18000:centralArProductCatalog:Staged,PISO_TETO_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1841;PISO_TETO_17000_18000:centralArProductCatalog:Online,PISO_TETO_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1842;PISO_TETO_22000_24000:centralArProductCatalog:Staged,PISO_TETO_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1842;PISO_TETO_22000_24000:centralArProductCatalog:Online,PISO_TETO_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1843;PISO_TETO_27000_32000:centralArProductCatalog:Staged,PISO_TETO_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1843;PISO_TETO_27000_32000:centralArProductCatalog:Online,PISO_TETO_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1847;CASSETE_17000_18000:centralArProductCatalog:Staged,CASSETE_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1847;CASSETE_17000_18000:centralArProductCatalog:Online,CASSETE_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1849;CASSETE_27000_32000:centralArProductCatalog:Staged,CASSETE_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1849;CASSETE_27000_32000:centralArProductCatalog:Online,CASSETE_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
1867;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1867;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1868;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1868;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1886;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1886;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
1890;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1890;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1900;PISO_TETO_33000_36000:centralArProductCatalog:Staged,PISO_TETO_CARRIER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1900;PISO_TETO_33000_36000:centralArProductCatalog:Online,PISO_TETO_CARRIER:centralArProductCatalog:Online;centralArProductCatalog:Online
1916;PISO_TETO_33000_36000:centralArProductCatalog:Staged,PISO_TETO_CARRIER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1916;PISO_TETO_33000_36000:centralArProductCatalog:Online,PISO_TETO_CARRIER:centralArProductCatalog:Online;centralArProductCatalog:Online
1934;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1934;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1969;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1969;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1972;CASSETE_47000_50000:centralArProductCatalog:Staged,CASSETE_CARRIER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1972;CASSETE_47000_50000:centralArProductCatalog:Online,CASSETE_CARRIER:centralArProductCatalog:Online;centralArProductCatalog:Online
2000;INVERTER_27000_32000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2000;INVERTER_27000_32000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2001;INVERTER_27000_32000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2001;INVERTER_27000_32000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2020;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2020;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2021;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_RINETTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2021;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_RINETTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2022;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_RINETTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2022;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_RINETTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2028;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_RINETTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2028;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_RINETTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2043;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2043;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2045;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2045;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2063;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2063;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2064;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2064;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2096;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2096;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
2097;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2097;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
2110;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2110;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2111;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2111;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2127;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2127;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2128;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2128;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2129;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2129;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2144;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2144;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2145;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2145;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2146;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2146;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2152;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2152;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2153;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2153;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2154;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2154;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2155;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2155;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
